"match_id","season.season_name"
69182,"2007/2008"
68358,"2007/2008"
68361,"2007/2008"
69141,"2007/2008"
69225,"2008/2009"
69212,"2008/2009"
69235,"2008/2009"
69232,"2008/2009"
69216,"2008/2009"
69209,"2008/2009"
69231,"2008/2009"
69217,"2008/2009"
69273,"2008/2009"
69223,"2008/2009"
69222,"2008/2009"
69195,"2008/2009"
69251,"2008/2009"
69185,"2008/2009"
69142,"2008/2009"
69139,"2008/2009"
69189,"2008/2009"
69171,"2008/2009"
69249,"2008/2009"
69215,"2008/2009"
69138,"2008/2009"
69147,"2008/2009"
69149,"2008/2009"
69177,"2008/2009"
69207,"2008/2009"
69228,"2008/2009"
69183,"2008/2009"
69279,"2008/2009"
69285,"2008/2009"
69230,"2008/2009"
69211,"2008/2009"
303421,"2019/2020"
303493,"2019/2020"
303516,"2019/2020"
303680,"2019/2020"
303532,"2019/2020"
303400,"2019/2020"
303634,"2019/2020"
303479,"2019/2020"
303615,"2019/2020"
303696,"2019/2020"
303664,"2019/2020"
303596,"2019/2020"
303487,"2019/2020"
303600,"2019/2020"
303548,"2019/2020"
303473,"2019/2020"
303610,"2019/2020"
303652,"2019/2020"
303430,"2019/2020"
303674,"2019/2020"
303470,"2019/2020"
303700,"2019/2020"
303707,"2019/2020"
303666,"2019/2020"
303725,"2019/2020"
303504,"2019/2020"
303715,"2019/2020"
303377,"2019/2020"
303524,"2019/2020"
303451,"2019/2020"
303517,"2019/2020"
303682,"2019/2020"
303731,"2019/2020"
