"type.name","team.name","player.name","duration","possession_team.name","location.x","location.y","shot.statsbomb_xg","pass.length","pass.angle","pass.cross","pass.switch","pass.end_location.x","pass.end_location.y","pass.recipient.name","pass.outcome.name","carry.end_location.x","carry.end_location.y"
"Ball Receipt*","Barcelona","Carles Puyol i Saforcada",NA,"Barcelona",52.2,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Carles Puyol i Saforcada",1.797335,"Barcelona",52.2,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.9,25.6
"Pass","Barcelona","Carles Puyol i Saforcada",1.129349,"Barcelona",53.9,25.6,NA,18.539957,-0.8808923,NA,NA,65.7,39.9,"Rafael Márquez Álvarez",NA,NA,NA
"Ball Receipt*","Barcelona","Rafael Márquez Álvarez",NA,"Barcelona",65.7,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Rafael Márquez Álvarez",0.257249,"Barcelona",65.7,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.7,39.9
"Pass","Barcelona","Rafael Márquez Álvarez",1.093792,"Barcelona",65.7,39.9,NA,11.510864,-2.5415425,NA,NA,56.2,46.4,"Oleguer Presas Renom",NA,NA,NA
"Ball Receipt*","Barcelona","Oleguer Presas Renom",NA,"Barcelona",56.2,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Oleguer Presas Renom",1.652972,"Barcelona",56.2,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.9,50.8
"Pass","Barcelona","Oleguer Presas Renom",0.968203,"Barcelona",55.9,50.8,NA,19.946178,-0.39633372,NA,NA,74.3,58.5,"Xavier Hernández Creus",NA,NA,NA
"Pressure","Málaga","Juan Antonio Rodríguez Villamuela",0.428768,"Barcelona",46.1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ball Receipt*","Barcelona","Xavier Hernández Creus",NA,"Barcelona",74.3,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Xavier Hernández Creus",0.027935,"Barcelona",74.3,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3,58.7
"Pass","Barcelona","Xavier Hernández Creus",3.546277,"Barcelona",73.3,58.7,NA,39.62474,-2.686974,NA,NA,37.7,76.1,"Oleguer Presas Renom",NA,NA,NA
"Ball Receipt*","Barcelona","Oleguer Presas Renom",NA,"Barcelona",37.7,76.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Barcelona","Oleguer Presas Renom",1.542502,"Barcelona",36.8,72.4,NA,42.19301,1.5043858,NA,TRUE,39.6,30.3,"Carles Puyol i Saforcada",NA,NA,NA
"Ball Receipt*","Barcelona","Carles Puyol i Saforcada",NA,"Barcelona",39.6,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Barcelona","Carles Puyol i Saforcada",2.381923,"Barcelona",49.3,34.7,NA,27.406021,-1.3984492,NA,NA,54,61.7,"Oleguer Presas Renom",NA,NA,NA
"Ball Receipt*","Barcelona","Oleguer Presas Renom",NA,"Barcelona",54,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Oleguer Presas Renom",2.318287,"Barcelona",54,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.1,55.5
"Pass","Barcelona","Oleguer Presas Renom",0.76379,"Barcelona",66.1,55.5,NA,22.62786,0.7791482,NA,NA,82.2,39.6,"Samuel Eto""o Fils",NA,NA,NA
"Ball Receipt*","Barcelona","Samuel Eto""o Fils",NA,"Barcelona",82.2,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Samuel Eto""o Fils",0.04,"Barcelona",82.2,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.1,38.8
"Pass","Barcelona","Samuel Eto""o Fils",0.486161,"Barcelona",82.1,38.8,NA,6.8949256,-1.9108934,NA,NA,79.8,45.3,"Rafael Márquez Álvarez",NA,NA,NA
"Ball Receipt*","Barcelona","Rafael Márquez Álvarez",NA,"Barcelona",79.8,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Rafael Márquez Álvarez",0.021619001,"Barcelona",79.8,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8,45.3
"Miscontrol","Barcelona","Rafael Márquez Álvarez",0,"Barcelona",79.8,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pressure","Barcelona","Samuel Eto""o Fils",0.522314,"Barcelona",84.8,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clearance","Málaga","Raúl Iznata Zabala",0,"Barcelona",34.3,45.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Barcelona","Giovanni van Bronckhorst",2.1177,"Barcelona",50.6,79,NA,23.13655,0.056217756,NA,NA,73.7,77.7,"Ronaldo de Assis Moreira","Incomplete",NA,NA
"Ball Receipt*","Barcelona","Ronaldo de Assis Moreira",NA,"Barcelona",77.7,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ball Recovery","Málaga","Alexis Ruano Delgado",0,"Málaga",47.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Málaga","Alexis Ruano Delgado",3.6425,"Málaga",47.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.4,1.2
"Pass","Málaga","Alexis Ruano Delgado",1.1194,"Málaga",52.4,1.2,NA,14.68128,-2.5894914,NA,NA,39.9,8.90000000000001,"Carlos Manuel de Oliveira Magalhães",NA,NA,NA
